Date,Price
2013-10-18,434.299988
2013-10-21,440
2013-10-22,446.875
2013-10-23,438.350006
2013-10-24,433.100006
2013-10-25,441.125
2013-10-28,435.799988
2013-10-29,437
2013-10-30,452.399994
2013-10-31,447.5
2013-11-01,442.600006
2013-11-05,457.5
2013-11-06,454.024994
2013-11-07,449
2013-11-08,448.5
2013-11-11,439
2013-11-12,437.850006
2013-11-13,438
2013-11-14,455
2013-11-18,465
2013-11-19,472.5
2013-11-20,472.5
2013-11-21,470.5
2013-11-22,469
2013-11-25,474.5
2013-11-26,471.549988
2013-11-27,472.5
2013-11-28,473.5
2013-11-29,481
2013-12-02,469.5
2013-12-03,475.125
2013-12-04,473.100006
2013-12-05,479.950012
2013-12-06,471.100006
2013-12-09,482.5
2013-12-10,483.575012
2013-12-11,474
2013-12-12,472.5
2013-12-13,470.950012
2013-12-16,476
2013-12-17,463.5
2013-12-18,465.850006
2013-12-19,475.5
2013-12-20,468.5
2013-12-23,486
2013-12-24,482.5
2013-12-26,482.024994
2013-12-27,480
2013-12-30,484.049988
2013-12-31,477.5
2014-01-01,474
2014-01-02,472
2014-01-03,464
2014-01-06,451.850006
2014-01-07,448
2014-01-08,454
2014-01-09,455
2014-01-10,447
2014-01-13,436.5
2014-01-14,441.5
2014-01-15,445.75
2014-01-16,452.75
2014-01-17,445.5
2014-01-20,445.5
2014-01-21,453
2014-01-22,449.075012
2014-01-23,458.225006
2014-01-24,441.25
2014-01-27,430.600006
2014-01-28,432.5
2014-01-29,439.475006
2014-01-30,429.5
2014-01-31,437
2014-02-03,441.100006
2014-02-04,437.5
2014-02-05,428.5
2014-02-06,437.75
2014-02-07,451.274994
2014-02-10,447.625
2014-02-11,449.049988
2014-02-12,448.850006
2014-02-13,447.5
2014-02-14,453.5
2014-02-17,452.475006
2014-02-18,467.5
2014-02-19,468
2014-02-20,468.075012
2014-02-21,465.149994
2014-02-24,465
2014-02-25,472.950012
2014-02-26,471.5
2014-02-28,482.5
2014-03-03,486.350006
2014-03-04,475.049988
2014-03-05,478.75
2014-03-06,475.149994
2014-03-07,480
2014-03-10,489.649994
2014-03-11,506
2014-03-12,494.700012
2014-03-13,500.950012
2014-03-14,506.450012
2014-03-18,514.224976
2014-03-19,505.5
2014-03-20,491.450012
2014-03-21,492.5
2014-03-22,490
2014-03-24,490
2014-03-25,493.5
2014-03-26,490
2014-03-27,480
2014-03-28,484.5
2014-03-31,486.149994
2014-04-01,492.5
2014-04-02,503.25
2014-04-03,502.350006
2014-04-04,503
2014-04-07,500
2014-04-09,509
2014-04-10,509.5
2014-04-11,506.049988
2014-04-15,498.25
2014-04-16,492.5
2014-04-17,490
2014-04-21,500
2014-04-22,517.5
2014-04-23,513.325012
2014-04-24,519.575012
2014-04-25,519
2014-04-28,532.5
2014-04-29,533.5
2014-04-30,535
2014-05-02,529.5
2014-05-05,525
2014-05-06,531.25
2014-05-07,533
2014-05-08,532.5
2014-05-09,535
2014-05-12,550.5
2014-05-13,570.5
2014-05-14,552.5
2014-05-15,540
2014-05-16,560
2014-05-19,569.950012
2014-05-20,550.5
2014-05-21,563.5
2014-05-22,577.349976
2014-05-23,566.5
2014-05-26,586.950012
2014-05-27,620.075012
2014-05-28,600
2014-05-29,582.5
2014-05-30,594.5
2014-06-02,617.5
2014-06-03,620.25
2014-06-04,615.549988
2014-06-05,607.5
2014-06-06,603.5
2014-06-09,620
2014-06-10,614.5
2014-06-11,615
2014-06-12,608.700012
2014-06-13,616
2014-06-16,611.650024
2014-06-17,597.349976
2014-06-18,594.5
2014-06-19,583
2014-06-20,588.075012
2014-06-23,574.75
2014-06-24,580.25
2014-06-25,583.25
2014-06-26,597.5
2014-06-27,588
2014-06-30,575.799988
2014-07-01,575
2014-07-02,599
2014-07-03,609.825012
2014-07-04,617.5
2014-07-07,619.950012
2014-07-08,625.5
2014-07-09,607.5
2014-07-10,585.549988
2014-07-11,582.200012
2014-07-14,581.575012
2014-07-15,586.5
2014-07-16,602
2014-07-17,591.5
2014-07-18,589.400024
2014-07-21,594
2014-07-22,594.325012
2014-07-23,592.5
2014-07-24,597.150024
2014-07-25,601
2014-07-28,606
2014-07-30,604.349976
2014-07-31,611
2014-08-01,592.650024
2014-08-04,583.5
2014-08-05,593.474976
2014-08-06,619.849976
2014-08-07,619.950012
2014-08-08,615
2014-08-11,620
2014-08-12,657.5
2014-08-13,649.125
2014-08-14,658.125
2014-08-18,659
2014-08-19,662.974976
2014-08-20,687.049988
2014-08-21,676.5
2014-08-22,689.950012
2014-08-25,695.299988
2014-08-26,699
2014-08-27,697
2014-08-28,697.224976
2014-09-01,705.025024
2014-09-02,698.5
2014-09-03,697.799988
2014-09-04,705.849976
2014-09-05,703.150024
2014-09-08,709.5
2014-09-09,697.474976
2014-09-10,699.549988
2014-09-11,690.5
2014-09-12,685.575012
2014-09-15,688.5
2014-09-16,685.025024
2014-09-17,689.900024
2014-09-18,685.5
2014-09-19,698
2014-09-22,686
2014-09-23,684
2014-09-24,673
2014-09-25,680.5
2014-09-26,671.825012
2014-09-29,696.849976
2014-09-30,691.349976
2014-10-01,680
2014-10-07,697.5
2014-10-08,680.5
2014-10-09,688.5
2014-10-10,680
2014-10-13,658.700012
2014-10-14,642.5
2014-10-15,637.025024
2014-10-16,637.5
2014-10-17,611.5
2014-10-20,637.299988
2014-10-21,630
2014-10-22,622.5
2014-10-27,636.450012
2014-10-28,628.400024
2014-10-29,644
2014-10-30,648.174988
2014-10-31,646.200012
2014-11-03,653
2014-11-05,635.5
2014-11-07,620.299988
2014-11-10,620.049988
2014-11-11,617.549988
2014-11-12,634
2014-11-13,630.299988
2014-11-14,625
2014-11-17,630
2014-11-18,625.549988
2014-11-19,632.5
2014-11-20,625.049988
2014-11-21,615.400024
2014-11-24,622.549988
2014-11-25,625.325012
2014-11-26,629.450012
2014-11-27,641.25
2014-11-28,647.5
2014-12-01,663.474976
2014-12-02,643.049988
2014-12-03,637.349976
2014-12-04,648
2014-12-05,637.950012
2014-12-08,652.25
2014-12-09,625.099976
2014-12-10,629
2014-12-11,635
2014-12-12,631.025024
2014-12-15,625.049988
2014-12-16,620.099976
2014-12-17,604.150024
2014-12-18,617.5
2014-12-19,611
2014-12-22,612.700012
2014-12-23,636.5
2014-12-24,633.25
2014-12-26,627.125
2014-12-29,627
2014-12-30,626.200012
2014-12-31,615.150024
2015-01-01,619
2015-01-02,615.125
2015-01-05,610.049988
2015-01-06,607.5
2015-01-07,606
2015-01-08,615
2015-01-09,621.400024
2015-01-12,617.150024
2015-01-13,615
2015-01-14,622.650024
2015-01-15,629.5
2015-01-16,638.5
2015-01-19,652.450012
2015-01-20,666.599976
2015-01-21,669
2015-01-22,662.5
2015-01-23,668
2015-01-27,679.825012
2015-01-28,662.224976
2015-01-29,658.25
2015-01-30,650.5
2015-02-02,632.650024
2015-02-03,621.049988
2015-02-04,601.450012
2015-02-05,605.5
2015-02-06,588.549988
2015-02-09,566.5
2015-02-10,554.549988
2015-02-11,571.200012
2015-02-12,573.424988
2015-02-13,567
2015-02-16,599.825012
2015-02-18,606
2015-02-19,618.5
2015-02-20,628.349976
2015-02-23,627.924988
2015-02-24,630.5
2015-02-25,630
2015-02-26,633.5
2015-02-27,627.950012
2015-02-28,629
2015-03-02,647.549988
2015-03-03,629
2015-03-04,627.5
2015-03-05,609.5
2015-03-09,612
2015-03-10,605.099976
2015-03-11,612.349976
2015-03-12,630.150024
2015-03-13,626.5
2015-03-16,616
2015-03-17,612.625
2015-03-18,615.025024
2015-03-19,614
2015-03-20,602.5
2015-03-23,586.224976
2015-03-24,587.5
2015-03-25,596.025024
2015-03-26,602.174988
2015-03-27,601.599976
2015-03-30,599
2015-03-31,601.25
2015-04-01,594
2015-04-06,597.900024
2015-04-07,621.950012
2015-04-08,637.5
2015-04-09,637.5
2015-04-10,637
2015-04-13,641.450012
2015-04-15,622.049988
2015-04-16,605.025024
2015-04-17,616
2015-04-20,609
2015-04-21,595
2015-04-22,597.5
2015-04-23,610.5
2015-04-24,598.625
2015-04-27,584.025024
2015-04-28,583.349976
2015-04-29,591.5
2015-04-30,585
2015-05-04,575.5
2015-05-05,601
2015-05-06,589.625
2015-05-07,581.325012
2015-05-08,588
2015-05-11,591.5
2015-05-12,597.125
2015-05-13,594.5
